"","weeks","delta","group","emp_rate_diff"
"297",89,-0.0369589403885925,0,-0.00671285759046542
"298",90,-0.0236504176791602,0,0.00107594899292357
"299",91,-0.0329352540227056,0,0.00646160576519483
"300",92,-0.022049605137675,0,0.013898659793205
"301",93,-0.0333510027387579,0,0.00843910542526588
"302",94,-0.0361545374389582,0,0.00515805217761439
"303",95,-0.0360925149915951,0,0.00428014874108051
"304",96,-0.0451555599791418,0,0.00552754015595347
"305",97,-0.0517629492211802,0,0.0058142628271447
"306",98,-0.043812479517166,0,0.00156367312433126
"307",99,-0.0407609728440526,0,0.00315690528692958
"308",100,-0.0441337540937385,0,0.00380424822497977
"309",101,-0.0348309888149317,0,0.00656210649530309
"310",102,-0.0414943411529752,0,0.0107683576407158
"311",103,-0.0311829388534159,0,0.0137892913516166
"312",104,-0.0384746521796526,0,0.00648229709198184
"313",105,-0.0404143766907155,0,0.00809030877371375
"314",106,-0.0380273404509368,0,0.00871400448115023
"315",107,-0.0459480001266744,0,0.0100234698763841
"316",108,-0.0388961507221421,0,0.0132926995087288
"317",109,-0.0329434658204847,0,0.0101535296447595
"318",110,-0.0436798513026339,0,0.0161776616436008
"319",111,-0.0427896978857895,0,0.0153086259185471
"320",112,-0.0335367304987558,0,0.0114038769634591
"321",113,-0.0423810932502847,0,0.0125241645137835
"322",114,-0.0435472174647713,0,0.0187049594154405
"323",115,-0.0416437413451654,0,0.0137479086980427
"324",116,-0.0298693796932938,0,0.015896850780063
"325",117,-0.0304265926483557,0,0.0165441937181132
"326",118,-0.032596032745592,0,0.0203159270009992
"327",119,-0.0451713484753132,0,0.0206085614798437
"328",120,-0.0363050607054317,0,0.0185808114547186
"329",121,-0.023756217293296,0,0.0164555166033118
"330",122,-0.04440105202933,0,0.0171176390604955
"331",123,-0.0592001197041597,0,0.0197838643121907
"332",124,-0.0454533316813071,0,0.0186192382044659
"333",125,-0.0489106016341484,0,0.0168782108505318
"334",126,-0.040592599432679,0,0.016833872293131
"335",127,-0.0345883899233297,0,0.0149775646899553
"336",128,-0.0224758615210273,0,0.015577613166778
"337",129,-0.0254148829603716,0,0.0190035057019384
